City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Manaus,BR,81.09,moderate rain,-3.1019,-60.025,Manaus Hotéis Millennium
4,Sao Filipe,CV,75.72,overcast clouds,14.8961,-24.4956,Hotel Xaguate
10,Bambous Virieux,MU,70.05,light rain,-20.3428,57.7575,Casa Tia Villa
17,Turayf,SA,88.05,clear sky,31.6725,38.6637,Turaif
20,Bengkulu,ID,75.2,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
22,Hilo,US,80.28,heavy intensity rain,19.7297,-155.09,Hilo Hawaiian Hotel
23,Neath,GB,70.45,broken clouds,51.6632,-3.8044,The Castle Hotel
24,Faanui,PF,77.5,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
25,Touros,BR,80.42,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
27,Arraial Do Cabo,BR,75.16,clear sky,-22.9661,-42.0278,Pousada Porto Praia
29,Castro,BR,70.7,few clouds,-24.7911,-50.0119,CHACARA BAILLY
31,Vila Velha,BR,75.15,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
32,Jamestown,US,83.95,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
41,Arona,ES,78.03,clear sky,28.0996,-16.681,Paradise Court
43,Nichinan,JP,78.31,broken clouds,31.6,131.3667,Guest House Aki
45,Avarua,CK,71.65,broken clouds,-21.2078,-159.775,Paradise Inn
48,Timbiqui,CO,80.44,light rain,2.7717,-77.6654,Hotel Sharey
49,Fare,PF,77.0,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
51,Bathsheba,BB,86.61,few clouds,13.2167,-59.5167,Atlantis Hotel
57,Kapaa,US,80.19,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
58,Yarada,IN,84.52,mist,17.65,83.2667,Yarada Jungle Beach Resorts
59,Souillac,MU,70.18,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
63,Isangel,VU,75.52,clear sky,-19.55,169.2667,Tanna Lodge
64,Rikitea,PF,74.71,light rain,-23.1203,-134.9692,People ThankYou
65,Butaritari,KI,80.58,light rain,3.0707,172.7902,Isles Sunset Lodge
69,Lagoa,PT,72.73,overcast clouds,39.05,-27.9833,Casa Das Faias
71,Puerto Ayora,EC,80.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
72,Pontianak,ID,76.98,broken clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
74,Camopi,GF,81.34,overcast clouds,3.1655,-52.3158,La pousada
77,Atuona,PF,77.47,few clouds,-9.8,-139.0333,Villa Enata
78,Hasaki,JP,77.4,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
79,Gaurnadi,BD,81.05,overcast clouds,22.9667,90.2333,"ভাই ভাই ব্যাটারি হাউজ, গৌরনদী উপজেলা গেইট,"
80,Moosomin,CA,73.18,clear sky,50.1333,-101.6677,Motel 6
81,Shimoda,JP,75.11,few clouds,34.6667,138.95,Shimoda Tokyu Hotel
84,Todos Santos Cuchumatan,GT,71.42,overcast clouds,15.5167,-91.6167,CARRILLOINTER
86,Oromocto,CA,87.31,broken clouds,45.8351,-66.4792,Days Inn by Wyndham Oromocto Conference Centre
88,Trincomalee,LK,78.98,overcast clouds,8.5711,81.2335,Welcombe Hotel
89,Lamu,KE,75.42,light rain,-2.2717,40.902,Lamu House
90,Qiongshan,CN,78.78,clear sky,20.0058,110.3542,Sun City Restaurant
91,Shihezi,CN,75.79,clear sky,44.3,86.0333,Home Inn Shihezi Dongwu Road Century Square
95,Hithadhoo,MV,80.74,light rain,-0.6,73.0833,Scoop Guest House
