City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Vaini,TO,-21.2,-175.2,68.16,100,20,3.44,few clouds
1,Manaus,BR,-3.1019,-60.025,81.09,78,75,8.05,moderate rain
2,Dikson,RU,73.5069,80.5464,43.09,95,100,21.39,light rain
3,Naushki,RU,50.3828,106.1056,56.3,96,100,6.13,light rain
4,Sao Filipe,CV,14.8961,-24.4956,75.72,85,93,7.9,overcast clouds
5,Hobart,AU,-42.8794,147.3294,39.27,91,3,1.99,clear sky
6,Rocha,UY,-34.4833,-54.3333,56.71,75,100,8.16,overcast clouds
7,Luderitz,NA,-26.6481,15.1594,64.92,49,0,8.48,clear sky
8,Severo-Kurilsk,RU,50.6789,156.125,53.37,97,100,25.34,moderate rain
9,Ushuaia,AR,-54.8,-68.3,31.66,86,40,23.02,shower snow
10,Bambous Virieux,MU,-20.3428,57.7575,70.05,83,40,16.11,light rain
11,La Ronge,CA,55.1001,-105.2842,68.22,48,75,21.85,broken clouds
12,New Norfolk,AU,-42.7826,147.0587,38.91,82,5,2.68,clear sky
13,Busselton,AU,-33.65,115.3333,57.88,77,58,12.06,broken clouds
14,Lebu,CL,-37.6167,-73.65,53.46,78,97,8.57,overcast clouds
15,Tuktoyaktuk,CA,69.4541,-133.0374,53.6,94,100,8.05,overcast clouds
16,Jasper,US,37.2001,-94.3502,104.88,22,0,3.0,clear sky
17,Turayf,SA,31.6725,38.6637,88.05,29,0,11.5,clear sky
18,Talnakh,RU,69.4865,88.3972,49.21,88,17,6.44,light rain
19,Cape Town,ZA,-33.9258,18.4232,55.9,85,0,4.0,clear sky
20,Bengkulu,ID,-3.8004,102.2655,75.2,92,77,4.0,broken clouds
21,Hovd,MN,48.0056,91.6419,63.84,44,100,3.71,overcast clouds
22,Hilo,US,19.7297,-155.09,80.28,96,75,5.75,heavy intensity rain
23,Neath,GB,51.6632,-3.8044,70.45,68,77,3.33,broken clouds
24,Faanui,PF,-16.4833,-151.75,77.5,73,9,12.73,clear sky
25,Touros,BR,-5.1989,-35.4608,80.42,72,100,11.61,overcast clouds
26,Clyde River,CA,70.4692,-68.5914,43.03,87,100,11.5,fog
27,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,78,0,10.36,clear sky
28,Yellowknife,CA,62.456,-114.3525,68.52,40,40,8.05,scattered clouds
29,Castro,BR,-24.7911,-50.0119,70.7,60,16,5.7,few clouds
