City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Guadalajara,20.6667,-103.3333,80.37,47,20,4.61,few clouds
1,Khatanga,71.9667,102.5,49.69,58,100,22.3,overcast clouds
2,Bambanglipuro,-7.95,110.2833,78.17,77,65,9.93,broken clouds
3,Canto Do Buriti,-8.11,-42.9444,74.19,53,21,7.02,few clouds
4,Ponta Do Sol,32.6667,-17.1,70.72,80,12,5.64,few clouds
5,Cidreira,-30.1811,-50.2056,61.7,94,2,15.5,clear sky
6,Port Elizabeth,-33.918,25.5701,54.32,93,75,4.61,broken clouds
7,Puerto Ayora,-0.7393,-90.3518,67.55,99,45,8.01,scattered clouds
8,Jamestown,42.097,-79.2353,82.02,67,0,9.22,clear sky
9,Mogwase,-25.185,27.2665,54.1,63,75,3.29,broken clouds
10,Hervey Bay,-25.2986,152.8535,62.53,87,100,21.45,moderate rain
11,Scarborough,54.2797,-0.4044,63.97,84,93,12.12,overcast clouds
12,Ushuaia,-54.8,-68.3,29.86,93,100,17.27,snow
13,Seymchan,62.8833,152.4333,45.81,78,100,8.55,overcast clouds
14,New Norfolk,-42.7826,147.0587,48.92,63,0,1.59,clear sky
15,Hobart,-42.8794,147.3294,49.26,78,40,8.05,scattered clouds
16,Torbay,47.6666,-52.7314,64.58,85,100,24.16,overcast clouds
17,Busselton,-33.65,115.3333,58.05,81,100,14.18,light rain
18,Pacific Grove,36.6177,-121.9166,75.24,85,75,8.05,broken clouds
19,Pevek,69.7008,170.3133,31.75,87,100,15.9,overcast clouds
20,Atuona,-9.8,-139.0333,77.61,75,1,14.36,clear sky
21,Buala,-8.145,159.5921,85.42,66,95,7.87,overcast clouds
22,Yatou,37.15,122.3833,75.96,75,56,8.46,broken clouds
23,Baghdad,33.3406,44.4009,85.91,21,0,8.05,clear sky
24,Rikitea,-23.1203,-134.9692,73.56,76,0,5.61,light rain
25,Albany,42.6001,-73.9662,86.65,64,34,3.74,scattered clouds
26,Mount Gambier,-37.8333,140.7667,53.1,56,7,8.59,clear sky
27,Upernavik,72.7868,-56.1549,48.11,70,100,7.78,overcast clouds
28,Vaini,-21.2,-175.2,78.96,83,20,9.22,few clouds
29,Hailar,49.2,119.7,79.07,46,7,5.3,clear sky
30,Dhidhdhoo,6.8833,73.1,81.21,73,100,21.99,moderate rain
31,Punta Arenas,-53.15,-70.9167,30.31,93,20,13.8,few clouds
32,Hami,42.8,93.45,69.35,44,29,2.84,scattered clouds
33,Butaritari,3.0707,172.7902,81.09,80,100,9.4,moderate rain
34,Saskylakh,71.9167,114.0833,51.06,56,53,17.09,broken clouds
35,Dingle,10.9995,122.6711,83.23,79,100,2.08,overcast clouds
36,Bengkulu,-3.8004,102.2655,77.77,87,18,2.86,few clouds
37,Bluff,-46.6,168.3333,44.8,68,100,7.54,overcast clouds
38,Ilulissat,69.2167,-51.1,57.22,44,75,14.97,broken clouds
39,Bredasdorp,-34.5322,20.0403,44.15,90,0,5.75,clear sky
40,Bethel,41.3712,-73.414,83.77,75,0,6.31,clear sky
41,Strezhevoy,60.7333,77.5889,61.47,67,99,2.35,overcast clouds
42,Algiers,36.7525,3.042,73.22,88,20,3.44,few clouds
43,Tasiilaq,65.6145,-37.6368,37.56,77,100,3.78,overcast clouds
44,Ribeira Grande,38.5167,-28.7,72.82,84,6,2.57,clear sky
45,Sao Filipe,14.8961,-24.4956,76.05,88,71,4.27,broken clouds
46,Lewisburg,35.4492,-86.7889,90.45,72,0,6.91,clear sky
47,Dubbo,-32.25,148.6167,62.73,48,75,21.85,broken clouds
48,Derzhavinsk,51.1,66.3167,67.86,68,97,7.02,overcast clouds
49,Yichun,47.7,128.9,76.82,60,0,3.2,clear sky
50,Bonavista,48.6499,-53.1147,59.02,93,100,22.3,light rain
51,Nikolskoye,59.7035,30.7861,64.87,82,8,7.05,clear sky
52,Nadezhda,44.1,44.6,67.82,75,94,1.95,overcast clouds
53,Huty,50.1332,35.3439,51.75,95,4,11.14,clear sky
54,Sakaraha,-22.9,44.5333,56.37,66,0,2.06,clear sky
55,Carnarvon,-24.8667,113.6333,68.07,94,100,8.05,overcast clouds
56,Yulara,-25.2406,130.9889,55.98,35,10,12.86,clear sky
57,Benicarlo,40.4165,0.4271,78.91,81,0,4.29,clear sky
58,Ixtapa,20.7,-105.2,88.83,74,75,5.75,broken clouds
59,Richards Bay,-28.783,32.0377,61.61,89,22,5.77,few clouds
60,Hermanus,-34.4187,19.2345,49.44,78,0,6.15,clear sky
61,Castro,-24.7911,-50.0119,56.32,93,6,4.29,clear sky
62,Barrow,71.2906,-156.7887,53.62,62,0,12.66,clear sky
63,Chuy,-33.6971,-53.4616,57.2,95,81,7.52,moderate rain
64,Dukat,62.55,155.55,49.73,45,100,8.66,overcast clouds
65,Arraial Do Cabo,-22.9661,-42.0278,70.07,85,2,11.63,clear sky
66,Krasne,49.9145,24.6134,54.3,90,5,2.98,clear sky
67,San Patricio,28.017,-97.5169,87.89,65,4,18.48,clear sky
68,Touros,-5.1989,-35.4608,73.72,90,100,9.62,overcast clouds
69,Airai,-8.9266,125.4092,65.88,73,59,3.69,broken clouds
70,Kayes,14.0,-11.0,75.76,83,100,3.42,light rain
71,Lebu,-37.6167,-73.65,52.05,96,100,5.17,overcast clouds
72,Ostrovnoy,68.0531,39.5131,47.68,96,31,3.76,scattered clouds
73,Pimentel,-6.8367,-79.9342,62.8,84,16,15.82,few clouds
74,Faanui,-16.4833,-151.75,78.08,69,8,10.45,clear sky
75,Orsha,54.5153,30.4053,55.26,71,21,14.81,few clouds
76,Chokurdakh,70.6333,147.9167,54.37,43,57,8.01,broken clouds
77,Boali,4.8005,18.1275,69.55,96,100,1.16,overcast clouds
78,Victoria,22.2855,114.1577,91.26,78,14,8.01,few clouds
79,Mataura,-46.1927,168.8643,44.47,78,100,4.0,overcast clouds
