City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Okhotsk,RU,2022-07-20 20:25:05,59.3833,143.3,58.87,94,100,3.38
1,Hobart,AU,2022-07-20 20:20:07,-42.8794,147.3294,35.06,94,0,8.05
2,Cherskiy,RU,2022-07-20 20:25:06,68.75,161.3,40.3,72,26,12.95
3,Tindivanam,IN,2022-07-20 20:25:06,12.25,79.65,80.76,77,17,3.4
4,Chunhuhub,MX,2022-07-20 20:25:07,19.55,-88.6833,96.87,34,49,7.56
5,Kodiak,US,2022-07-20 20:22:44,57.79,-152.4072,54.91,76,0,5.75
6,Westport,US,2022-07-20 20:25:08,41.1415,-73.3579,98.89,47,0,10.36
7,Klaksvik,FO,2022-07-20 20:25:08,62.2266,-6.589,49.12,91,98,18.54
8,Arraial Do Cabo,BR,2022-07-20 20:23:03,-22.9661,-42.0278,73.26,78,20,8.05
9,Galesong,ID,2022-07-20 20:25:09,-5.3166,119.3661,73.42,85,12,5.3
10,Ushuaia,AR,2022-07-20 20:25:09,-54.8,-68.3,33.42,93,100,21.85
11,Torbay,CA,2022-07-20 20:25:10,47.6666,-52.7314,71.58,76,75,20.71
12,Surt,LY,2022-07-20 20:25:10,31.2089,16.5887,80.26,67,0,11.03
13,Alberton,CA,2022-07-20 20:25:11,46.8168,-64.0654,77.13,63,8,16.33
14,Luwingu,ZM,2022-07-20 20:25:11,-10.2621,29.9271,66.88,43,87,6.82
15,Narasannapeta,IN,2022-07-20 20:25:12,18.4167,84.05,82.26,84,100,4.74
16,Albany,US,2022-07-20 20:22:46,42.6001,-73.9662,95.77,44,46,1.59
17,Ende,ID,2022-07-20 20:25:12,-8.8432,121.6623,72.82,85,85,0.49
18,Victoria,HK,2022-07-20 20:21:12,22.2855,114.1577,86.32,86,19,5.99
19,Husavik,IS,2022-07-20 20:25:13,66.0449,-17.3389,46.04,87,100,7.0
20,Hithadhoo,MV,2022-07-20 20:25:14,-0.6,73.0833,80.64,69,100,1.43
21,Upernavik,GL,2022-07-20 20:24:05,72.7868,-56.1549,48.2,70,73,9.91
22,Nadapuram,IN,2022-07-20 20:25:15,11.7,75.6667,76.41,93,100,5.26
23,Vila Velha,BR,2022-07-20 20:25:15,-20.3297,-40.2925,73.94,77,0,9.22
24,Rikitea,PF,2022-07-20 20:25:16,-23.1203,-134.9692,73.36,75,0,2.04
25,East London,ZA,2022-07-20 20:25:16,-33.0153,27.9116,62.58,82,93,4.83
